v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
67,"Admin Broadcast notification",,"admin logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Admin sends broadcast notification""
2. ""Observe all users' devices""
3. ""Verify notification delivery""
","1. ""Broadcast is initiated""
2. ""Notifications appear on all devices""
3. ""All users receive the broadcast notification""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
68,"Map screen display",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Open map screen""
2. ""Observe map display""
","1. ""Map screen is opened""
2. ""Map displays with service area boundaries and order markers""
","1. """"
2. """"
",,,8,,Maps,,,no
69,"Service area boundaries",,"User is on map screen",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Open map screen""
2. ""Observe Namangan area on map""
3. ""Verify boundary display""
","1. ""Map screen is displayed""
2. ""Namangan area is visible""
3. ""Namangan service area boundary is clearly marked""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
70,"Service are boundaries - Tashkent",,"User is on map screen",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Open map screen""
2. ""Observe Tashkent area on map""
3. ""Verify boundary display""
","1. ""Map screen is displayed""
2. ""Tashkent area is visible""
3. ""Tashkent service area boundary is clearly marked""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
71,"Order markers on Map",,"Order exist in the system",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Open courier map screen""
2. ""Observe order markers""
3. ""Verify marker display""
","1. ""Courier map screen is opened""
2. ""Markers are visible on map""
3. ""Order locations are marked with appropriate icons""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
72,"Map Location selection",,"User is slecting order",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Tap \""Select on Map\""""
2. ""Tap on desired location on map""
3. ""Confirm selection""
","1. ""Map selection is initiated""
2. ""Location is selected""
3. ""Selected location coordinates are captured and address is resolved""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
73,"Map zoom controls",,"USer is on map screen",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Use zoom in controls""
2. ""Use zoom out controls""
3. ""Use pinch to zoom""
4. ""Verify zoom behavior""
","1. ""Zoom in is performed""
2. ""Zoom out is performed""
3. ""Pinch zoom gesture is performed""
4. ""Map zooms in and out smoothly""
","1. """"
2. """"
3. """"
4. """"
",,,8,,Maps,,,no
74,"Map pan control",,"User is on map screen",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Drag to pan the map""
2. ""Observe map movement""
","1. ""Pan gesture is performed""
2. ""Map pans smoothly to show different areas""
","1. """"
2. """"
",,,8,,Maps,,,no
75,"Current location on map",,"Location services enabled",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Open map screen""
2. ""Tap current location button""
3. ""Verify location centering""
","1. ""Map screen is displayed""
2. ""Current location button is tapped""
3. ""Map centers on user's current location""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
76,"LOcation permission handling",,"Location permission not granted",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Attempt to get current location""
2. ""Grant permission when prompted""
3. ""Verify permission granted""
","1. ""Location request is initiated""
2. ""Permission dialog appears""
3. ""Location permission is requested and granted successfully""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
77,"Geocoding services",,"Location selected",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Select location on map""
2. ""Observe address resolution""
3. ""Verify address conversion""
","1. ""Location coordinates are selected""
2. ""Address is being resolved""
3. ""Selected coordinates are converted to readable address""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
78,"Distance Calculation",,"Two locations are selected",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Select two locations""
2. ""Calculate distance between points""
3. ""Verify calculation accuracy""
","1. ""Two points are selected""
2. ""Distance calculation is performed""
3. ""Distance is calculated correctly using Haversine formula""
","1. """"
2. """"
3. """"
",,,8,,Maps,,,no
79,"Language Switch - English",,"User is in settings screen",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Tap language dropdown""
2. ""Select \""English\""""
3. ""Verify language change""
","1. ""Language dropdown is opened""
2. ""English language is selected""
3. ""All UI text changes to English""
","1. """"
2. """"
3. """"
",,,9,,Settings,,,no
80,"Language Switch - Uzbek",,"User is in settings screen",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Tap language dropdown""
2. ""Select \""Uzbek\""""
3. ""Verify language change""
","1. ""Language dropdown is opened""
2. ""Uzbek language is selected""
3. ""All UI text changes to Uzbek""
","1. """"
2. """"
3. """"
",,,9,,Settings,,,no
81,"Language Switch - Russian",,"User is in settings screen",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Tap language dropdown""
2. ""Select \""Russian\""""
3. ""Verify language change""
","1. ""Language dropdown is opened""
2. ""Russian language is selected""
3. ""All UI text changes to Russian""
","1. """"
2. """"
3. """"
",,,9,,Settings,,,no
82,"Language Persistence",,"Language has been changed",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Change language setting""
2. ""Close and reopen app""
3. ""Verify language preservation""
","1. ""Language is changed""
2. ""App is restarted""
3. ""Selected language is preserved""
","1. """"
2. """"
3. """"
",,,9,,Settings,,,no
